date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:58	17357/17357	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202025%2008:38:58%20GMT	https://arvindproteins.com/product-detail/groundnut-in-shell	D:/download_websites/Minalagreeexport/arvindproteins.com/product-detail/groundnut-in-shell.html	(from https://arvindproteins.com/)
14:08:58	57935/57935	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:31:47%20GMT	https://arvindproteins.com/upload/producttype/groundnut-in-shell-1625284973.png	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/producttype/groundnut-in-shell-1625284973.png	(from https://arvindproteins.com/)
14:08:59	17685/17685	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202025%2008:38:59%20GMT	https://arvindproteins.com/product-detail/white-chickpeas	D:/download_websites/Minalagreeexport/arvindproteins.com/product-detail/coriander.html	(from https://arvindproteins.com/)
14:08:59	57892/57892	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:31:48%20GMT	https://arvindproteins.com/upload/producttype/coriander.png	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/producttype/coriander.png	(from https://arvindproteins.com/)
14:08:59	17630/17630	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202025%2008:38:59%20GMT	https://arvindproteins.com/product-detail/desi-chickpeas	D:/download_websites/Minalagreeexport/arvindproteins.com/product-detail/wheat.html	(from https://arvindproteins.com/)
14:08:59	69632/69632	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:31:47%20GMT	https://arvindproteins.com/upload/producttype/wheat.png	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/producttype/wheat.png	(from https://arvindproteins.com/)
14:09:00	17762/17762	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202025%2008:38:59%20GMT	https://arvindproteins.com/product-detail/sesame-seeds	D:/download_websites/Minalagreeexport/arvindproteins.com/product-detail/sesame-seeds.html	(from https://arvindproteins.com/)
14:09:00	64243/64243	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:31:48%20GMT	https://arvindproteins.com/upload/producttype/white-sesame-1667404943.png	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/producttype/white-sesame-1667404943.png	(from https://arvindproteins.com/)
14:09:00	22829/22829	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202025%2008:39:00%20GMT	https://arvindproteins.com/infrastructure	D:/download_websites/Minalagreeexport/arvindproteins.com/infrastructure.html	(from https://arvindproteins.com/)
14:09:00	20665/20665	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202025%2008:39:00%20GMT	https://arvindproteins.com/process	D:/download_websites/Minalagreeexport/arvindproteins.com/process.html	(from https://arvindproteins.com/)
14:09:01	17552/17552	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202025%2008:39:00%20GMT	https://arvindproteins.com/accreditation	D:/download_websites/Minalagreeexport/arvindproteins.com/accreditation.html	(from https://arvindproteins.com/)
14:09:02	21906/21906	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202025%2008:39:01%20GMT	https://arvindproteins.com/contact-us	D:/download_websites/Minalagreeexport/arvindproteins.com/contact-us.html	(from https://arvindproteins.com/)
14:09:02	67000/67000	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Jul%202021%2018:57:35%20GMT	https://arvindproteins.com/upload/logo-1625293807.png	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/logo-1625293807.png	(from https://arvindproteins.com/)
14:09:02	26743/26743	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:31:46%20GMT	https://arvindproteins.com/upload/slider/java-peanuts-1625996182.png	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/slider/java-peanuts-1625996182.png	(from https://arvindproteins.com/)
14:09:02	26694/26694	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:31:45%20GMT	https://arvindproteins.com/upload/slider/blanched-peanuts-1625280386.png	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/slider/blanched-peanuts-1625280386.png	(from https://arvindproteins.com/)
14:09:03	195323/195323	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Jun%202024%2006:31:46%20GMT	https://arvindproteins.com/upload/slider/75-dec-1672841800.jpeg	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/slider/75-dec-1672841800.jpg	(from https://arvindproteins.com/)
14:09:03	64216/64216	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jun%202024%2006:32:00%20GMT	https://arvindproteins.com/upload/aboutus/about-img-2-1626665574.png	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/aboutus/about-img-2-1626665574.png	(from https://arvindproteins.com/)
14:09:05	284718/284718	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20Sep%202024%2009:54:08%20GMT	https://arvindproteins.com/upload/slider/38-sep-end-1726480448.jpeg	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/slider/38-sep-end-1726480448.jpg	(from https://arvindproteins.com/)
14:09:05	895820/895820	---M--	200	added ('OK')	application/pdf	date:Mon,%2020%20Sep%202021%2004:20:48%20GMT	https://arvindproteins.com/upload/MinalAgriExport-Profile.pdf	D:/download_websites/Minalagreeexport/arvindproteins.com/upload/MinalAgriExport-Profile.pdf	(from https://arvindproteins.com/)
